seed	n_docs	lang	bytes_gmean	bytes_gstd	bytes_total	chars_gmean	chars_gstd	chars_total	tresholded_vocab	vocab_size	words_gmean	words_gstd	words_total
1708168801	1000	arz	1029.674923194	3.65788690744271	3283429	591.231700783292	3.63812013996478	1873596	6359	63136	118.53261431122	3.62020532987641	381188
1708168802	1000	arz	1094.16807328775	3.70237884000182	3601491	628.293760373912	3.68174813924179	2054655	6810	64797	125.902336415581	3.65410786158196	416744
1708168804	1000	arz	1080.26639028273	3.60511934317232	3314115	620.407491521513	3.59244459625408	1893288	6422	58214	124.861887368703	3.56991320931208	378455
1708168804	1000	vi	5518.87957043156	5.16270778253456	17529146	4275.18114848402	5.12698011310749	13447672	3380	62115	1060.92230078209	5.02993831845362	3286246
1708168805	1000	arz	1053.27912894318	3.66925973592858	3448921	604.376080017343	3.65272940761403	1965112	6694	59697	121.146734225358	3.62655566723042	389970
1708168807	1000	arz	1053.20881374833	3.70374674665643	3356265	604.465226944366	3.69010425673229	1915608	6457	64040	121.321989452245	3.67252944330005	390025
1708168809	1000	ar	10504.3337404133	4.22446216655365	24824392	5906.02916671223	4.20427092719484	13839510	19088	218640	1146.18803537755	4.14997076389544	2638324
1708168809	1000	nl	5661.84951754347	3.64552778104556	11666636	5643.23415124779	3.64657083651332	11631829	10098	141283	1002.80970612964	3.67157575549544	2068996
1708168810	1000	ja	11062.7240619809	3.63641078031272	22082704	4247.135762321	3.59106757698303	8332896	8490	116784	2220.73287538993	3.66399205291177	4469907
1708168810	1000	sv	3442.54677909834	3.58887333749332	7404623	3314.87727381	3.59238293443653	7136849	9877	119546	570.730689510496	3.59481523862065	1229552
1708168812	1000	it	5042.34918228106	4.53189195798391	12510212	4999.28167393528	4.53826181907801	12419467	12032	137686	875.815055832402	4.62484534433659	2199204
1708168814	1000	pl	3026.94165255498	4.12282262436929	7881965	2867.48684666169	4.12024349515455	7453813	15369	151245	474.602451833628	4.1418745620353	1235754
1708168814	1000	pt	7564.41125911277	4.69876551140026	18513370	7330.91407936496	4.70773339774118	17968302	10514	137268	1379.36076491252	4.68110372835545	3357252
1708168815	1000	sv	3518.7905273678	3.59359340937431	7426138	3389.24757752303	3.59638720937378	7157479	9828	120294	581.752838212571	3.60151332710748	1231524
1708168816	1000	uk	7434.39555254571	3.70482518417592	15962489	4144.20074251733	3.70255990137274	8890022	13652	150929	728.098491003669	3.68463501079806	1558996
1708168816	1000	vi	5375.09594385735	5.15402397716117	16924691	4159.74914827579	5.1194792208341	12990820	3382	60602	1039.44689589553	5.00165939098292	3177761
1708168816	1000	zh	7413.53724065393	3.93195501962531	15911513	2825.69463104923	3.89133116014144	5939934	11496	129775	1666.05324612256	3.94414901558015	3572621
1708168817	1000	nl	5743.79947367208	3.71262247771717	11958793	5724.22922693465	3.71445835019953	11923094	10313	146908	1020.20705484815	3.74527526600464	2125314
1708168818	1000	ceb	424.279475522972	2.02234889647357	620231	424.122081877553	2.02163776342006	619708	796	12846	79.4009939480761	2.01325968255125	117276
1708168819	1000	ceb	434.524398345836	2.10922692367451	688117	434.320024675923	2.10828696623938	687317	1011	15303	81.5014594082853	2.09540506544878	129860
1708168820	1000	ar	11360.8530620799	4.12550603394259	25992475	6380.84239236579	4.10992996338926	14497388	19743	225192	1235.32315844085	4.05323117740195	2754204
1708168820	1000	ceb	420.383459689337	2.01732966476762	625306	420.190191553494	2.01641948579383	624601	889	13557	79.0164133391091	2.00373804689923	118277
1708168820	1000	pl	3162.0350019823	4.17063394454023	8175813	2995.1715385767	4.16855646079333	7731743	15745	153422	495.092113632238	4.18833092145947	1277437
1708168820	1000	sv	3593.92373171139	3.64522993935845	7817216	3461.67277174	3.647880472428	7535327	10289	123302	596.717152619171	3.64569313532408	1299462
1708168821	1000	es	6625.0593791454	4.48000016574484	16562690	6495.46388940029	4.47879034067526	16228941	11185	150041	1215.63152550507	4.56605474237604	3053353
1708168821	1000	fr	10506.1901974234	4.26600268192496	23952785	10165.030831284	4.26552126702137	23170040	12448	168641	1881.59448611652	4.2803460128754	4279126
1708168821	1000	it	5107.85131502719	4.6167084119309	12705470	5063.68699928384	4.62316705786505	12614661	11546	137974	888.326868193598	4.70891450243538	2237835
1708168823	1000	uk	7380.11352839017	3.72422597907514	15825891	4114.12458521502	3.7257232437763	8818595	13598	150604	719.567848538695	3.71559348596972	1539415
1708168824	1000	de	10422.0832105877	4.0089496446433	22161782	10241.5693034838	4.0100274226199	21779794	18050	264009	1723.93399260588	4.01168258598701	3607327
1708168825	1000	nl	5880.42019679047	3.78677396957927	12445368	5860.54604888383	3.78854172907138	12407861	10085	147321	1046.64305776276	3.79505359865253	2209858
1708168825	1000	pl	3170.81067488173	4.05535231148508	8179593	3002.71102324122	4.05344076424992	7736194	15803	153870	497.875891676984	4.06826199046049	1282662
1708168825	1000	sv	3476.998683156	3.53056415210552	7407851	3349.72469143315	3.532689731256	7141412	9898	119920	575.212470953121	3.54729895245326	1231766
1708168827	1000	pt	7308.34063694523	4.66037635757116	18111351	7083.65048316378	4.66770425471974	17572665	10711	136595	1332.34864931401	4.63332525067656	3277938
1708168828	1000	ja	10726.0432117654	3.77683580157853	22359610	4097.31139243288	3.73964832989676	8429635	8764	120417	2156.36219443911	3.82043015326247	4533567
1708168829	1000	sv	3519.07969649189	3.472174050657	7391336	3390.29937890408	3.47341386263571	7124985	9801	119475	582.033004411436	3.48399095995323	1225365
1708168829	1000	uk	7557.80854146158	3.62398082558922	16638360	4214.99237031176	3.62092735816984	9268348	14357	155347	738.073428910396	3.62336530777795	1625003
1708168829	1000	vi	5159.15232639011	5.10472644783933	16392548	3999.42640730882	5.06726445010495	12584028	3402	62003	996.157226806143	4.97157141236883	3079394
