,№,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
0,2,Cebuano,Cebuano,ceb,6122263,11227720,35020655,5,109910,153,0,2
1,3,German,Deutsch,de,2859540,7887846,238353960,176,4272128,17915,129076,93
2,4,Swedish,svenska,sv,2576623,6211830,54095477,66,890421,2292,0,17
3,5,French,français,fr,2574040,12851830,209846838,149,4810638,18401,70812,260
4,6,Dutch,Nederlands,nl,2141410,4582464,66267741,35,1314158,3744,20,18
5,7,Russian,русский,ru,1950965,7835656,134377255,70,3493688,10182,246945,156
6,8,Spanish,español,es,1912325,8049813,155389355,59,7017412,15367,0,198
7,9,Italian,italiano,it,1838369,7865785,136460077,123,2458051,7376,126062,186
8,10,Egyptian Arabic,مصرى,arz,1620901,2096325,8827190,7,225902,205,1487,0
9,11,Polish,polski,pl,1592372,3666634,71813189,99,1276374,4285,261,33
10,12,Japanese,日本語,ja,1395502,4105496,98162037,40,2143457,13384,4399,90
11,13,Chinese,中文,zh,1390918,7565211,79709801,64,3440524,7734,65665,207
12,14,Ukrainian,українська,uk,1299552,4552381,41000313,51,723073,3695,112909,56
13,15,Vietnamese,Tiếng Việt,vi,1289438rdu,19448646,70891153,18,936731,1917,26231,722
14,16,Waray,Winaray,war,1266338,2870866,7596273,3,58104,75,42,4
15,17,Arabic,العربية,ar,1223064,8301384,65302245,21,2517038,4558,53190,263
16,18,Portuguese,português,pt,1114426,5615131,66891137,52,3004245,8460,60231,194
17,19,Persian,فارسی,fa,983790,5600712,38287154,36,1269513,5058,87792,150
18,20,Catalan,català,ca,739827,1849933,32699561,29,467719,1675,11563,39
19,21,Serbian,српски / srpski,sr,679202,4091792,26500798,15,349514,851,37421,163
20,22,Indonesian,Bahasa Indonesia,id,674083,3756813,24927223,47,1448062,2896,49936,138
21,23,Korean,한국어,ko,652272,3147135,35957163,29,816968,1909,13611,167
22,24,Norwegian,norsk,no,619416,1786999,24053701,40,597159,1218,4,47
23,25,Chechen,нохчийн,ce,601284,1190333,10105081,3,36093,47,328,8
24,26,Finnish,suomi,fi,563529,1472269,21976203,34,562141,1626,74612,38
25,27,Turkish,Türkçe,tr,540730,2519332,30627240,19,1546302,2853,39806,162
26,28,Czech,čeština,cs,536353,1504457,23404756,33,641870,2461,1,50
27,29,Hungarian,magyar,hu,533975,1531994,26611188,25,548671,1611,8935,60
28,30,Tatar,татарча / tatarça,tt,500814,785690,4114352,6,49112,86,6567,1
29,31,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,458515,4650317,41572455,9,199880,206,10211,747
30,32,Romanian,română,ro,442906,2707376,15909284,17,634825,950,117262,153
31,33,Min Nan Chinese,Bân-lâm-gú,zh-min-nan,432928,1069169,3195593,6,60327,77,335,6
32,34,Basque,euskara,eu,424120,890377,9459310,12,155327,728,0,12
33,35,Malay,Bahasa Melayu,ms,368867,1073215,6029796,15,325824,634,18429,20
34,36,Esperanto,Esperanto,eo,346432,771457,8468795,14,217358,329,15923,16
35,37,Hebrew,עברית,he,345613,1461894,37543370,30,1141724,3023,77869,267
36,38,Armenian,հայերեն,hy,303767,1022179,8892775,11,138812,519,12111,48
37,39,Danish,dansk,da,296044,934358,11591385,26,469212,771,0,57
38,40,Bulgarian,български,bg,294761,662492,12039685,25,335561,826,14,28
39,41,Welsh,Cymraeg,cy,279556,466001,12008244,16,85408,114,11331,11
40,42,Uzbek,oʻzbekcha / ўзбекча,uz,247529,889071,3974715,16,115665,622,3076,30
41,43,Slovak,slovenčina,sk,246909,565877,7729734,11,242847,569,0,22
42,44,Simple English,Simple English,simple,243793,792038,9209855,19,1375495,1319,36,58
43,45,South Azerbaijani,تۆرکجه,azb,243352,576920,1554014,4,46681,96,313,5
44,46,Estonian,eesti,et,241123,569656,6526704,34,186351,679,794,21
45,47,Belarusian,беларуская,be,236971,681667,4628466,10,136405,283,3281,23
46,48,Kazakh,қазақша,kk,235627,618355,3240658,14,143812,399,11028,13
47,49,Greek,Ελληνικά,el,228255,666231,10298042,21,407877,946,19694,56
48,50,Minangkabau,Minangkabau,min,227114,471196,3146316,5,18499,50,178,7
49,51,Croatian,hrvatski,hr,217837,461545,6777327,13,305507,536,21657,18
50,52,Lithuanian,lietuvių,lt,214277,526074,7106285,10,181772,376,26252,28
