metric,score,lang,partition,task
precision,0.856379739841281,pcm,fraction_lo,masakhapos
recall,0.8571523266604799,pcm,fraction_lo,masakhapos
f1,0.8567658590812793,pcm,fraction_lo,masakhapos
precision,0.7371331348362399,pcm,fraction_lo,masakhaner2
recall,0.7405982905982906,pcm,fraction_lo,masakhaner2
f1,0.7388616499680237,pcm,fraction_lo,masakhaner2
precision,0.5604855465103453,pcm,fraction_lo,AfriSenti-Twitter
recall,0.6283100625902744,pcm,fraction_lo,AfriSenti-Twitter
f1,0.5924630039225733,pcm,fraction_lo,AfriSenti-Twitter
precision,0.9114365114167806,ha,fraction_lo,masakhapos
recall,0.9112406867508909,ha,fraction_lo,masakhapos
f1,0.9113385885643372,ha,fraction_lo,masakhapos
precision,0.7958894401133948,ha,fraction_lo,masakhaner2
recall,0.8199075200778778,ha,fraction_lo,masakhaner2
f1,0.8077199712299208,ha,fraction_lo,masakhaner2
precision,0.7345875801579841,ha,fraction_lo,AfriSenti-Twitter
recall,0.7333584763341505,ha,fraction_lo,AfriSenti-Twitter
f1,0.7339725136848534,ha,fraction_lo,AfriSenti-Twitter
precision,0.8220714087051205,ig,fraction_lo,masakhapos
recall,0.7802402839719669,ig,fraction_lo,masakhapos
f1,0.8006098093207656,ig,fraction_lo,masakhapos
precision,0.8198066217404043,ig,fraction_lo,masakhaner2
recall,0.863313792039494,ig,fraction_lo,masakhaner2
f1,0.8409978960024045,ig,fraction_lo,masakhaner2
precision,0.748757090307073,ig,fraction_lo,AfriSenti-Twitter
recall,0.7343834872351983,ig,fraction_lo,AfriSenti-Twitter
f1,0.7415006391140511,ig,fraction_lo,AfriSenti-Twitter
precision,0.9116223830498517,sw,fraction_lo,masakhapos
recall,0.9157023765086475,sw,fraction_lo,masakhapos
f1,0.9136578249384811,sw,fraction_lo,masakhapos
precision,0.8783843763870395,sw,fraction_lo,masakhaner2
recall,0.9140877598152425,sw,fraction_lo,masakhaner2
f1,0.8958804889090085,sw,fraction_lo,masakhaner2
precision,0.562630483125954,sw,fraction_lo,AfriSenti-Twitter
recall,0.6029411764705882,sw,fraction_lo,AfriSenti-Twitter
f1,0.5820887675522279,sw,fraction_lo,AfriSenti-Twitter
precision,0.9273149232798015,yo,fraction_lo,masakhapos
recall,0.9273733356389418,yo,fraction_lo,masakhapos
f1,0.9273441285395395,yo,fraction_lo,masakhapos
precision,0.8228962818003914,yo,fraction_lo,masakhaner2
recall,0.8372324539571926,yo,fraction_lo,masakhaner2
f1,0.8300024673081668,yo,fraction_lo,masakhaner2
precision,0.6925615778220355,yo,fraction_lo,AfriSenti-Twitter
recall,0.6500553709856035,yo,fraction_lo,AfriSenti-Twitter
f1,0.6706356177036168,yo,fraction_lo,AfriSenti-Twitter
precision,0.7481211608949075,am,fraction_lo,AfriSenti-Twitter
recall,0.3536768384192096,am,fraction_lo,AfriSenti-Twitter
f1,0.4802933516026208,am,fraction_lo,AfriSenti-Twitter
precision,0.8640428352517078,sn,fraction_lo,masakhapos
recall,0.8729912875121006,sn,fraction_lo,masakhapos
f1,0.8684940120943838,sn,fraction_lo,masakhapos
precision,0.8918305597579426,sn,fraction_lo,masakhaner2
recall,0.9175097276264591,sn,fraction_lo,masakhaner2
f1,0.904487917146145,sn,fraction_lo,masakhaner2
precision,0.8710484688595047,zu,fraction_lo,masakhapos
recall,0.8745663486556808,zu,fraction_lo,masakhapos
f1,0.8728038640242025,zu,fraction_lo,masakhapos
precision,0.8026973026973027,zu,fraction_lo,masakhaner2
recall,0.8374153204794164,zu,fraction_lo,masakhaner2
f1,0.8196888548839583,zu,fraction_lo,masakhaner2
precision,0.42269497211360196,ary,fraction_lo,AfriSenti-Twitter
recall,0.3674434312732185,ary,fraction_lo,AfriSenti-Twitter
f1,0.39313743078330676,ary,fraction_lo,AfriSenti-Twitter
precision,0.9648885470795744,rw,fraction_lo,masakhapos
recall,0.9657752120640904,rw,fraction_lo,masakhapos
f1,0.965331675969628,rw,fraction_lo,masakhapos
precision,0.7568909858455426,rw,fraction_lo,masakhaner2
recall,0.806135942872256,rw,fraction_lo,masakhaner2
f1,0.7807377049180328,rw,fraction_lo,masakhaner2
precision,0.6027920483164882,rw,fraction_lo,AfriSenti-Twitter
recall,0.5818713450292398,rw,fraction_lo,AfriSenti-Twitter
f1,0.5921469708560237,rw,fraction_lo,AfriSenti-Twitter
precision,0.8201380272443287,tw,fraction_lo,masakhapos
recall,0.827503862902093,tw,fraction_lo,masakhapos
f1,0.823804480471509,tw,fraction_lo,masakhapos
precision,0.7214377406931964,tw,fraction_lo,masakhaner2
recall,0.7646258503401361,tw,fraction_lo,masakhaner2
f1,0.7424042272126816,tw,fraction_lo,masakhaner2
precision,0.6238601307916702,tw,fraction_lo,AfriSenti-Twitter
recall,0.6364594309799789,tw,fraction_lo,AfriSenti-Twitter
f1,0.63009680385601,tw,fraction_lo,AfriSenti-Twitter
precision,0.894676529166407,lg,fraction_lo,masakhapos
recall,0.9005154639175258,lg,fraction_lo,masakhapos
f1,0.8975865008559453,lg,fraction_lo,masakhapos
precision,0.8021052631578948,lg,fraction_lo,masakhaner2
recall,0.8403176003528893,lg,fraction_lo,masakhaner2
f1,0.8207669108143042,lg,fraction_lo,masakhaner2
precision,0.923293993554631,wo,fraction_lo,masakhapos
recall,0.9242546333601934,wo,fraction_lo,masakhapos
f1,0.9237740637132857,wo,fraction_lo,masakhapos
precision,0.6842737094837935,wo,fraction_lo,masakhaner2
recall,0.7495069033530573,wo,fraction_lo,masakhaner2
f1,0.7154063382491372,wo,fraction_lo,masakhaner2
precision,0.8808895273803976,tn,fraction_lo,masakhapos
recall,0.8835359544749095,tn,fraction_lo,masakhapos
f1,0.8822107562656664,tn,fraction_lo,masakhapos
precision,0.7473749227918468,tn,fraction_lo,masakhaner2
recall,0.8034528552456839,tn,fraction_lo,masakhaner2
f1,0.7743999999999999,tn,fraction_lo,masakhaner2
precision,0.7971528955608413,ny,fraction_lo,masakhapos
recall,0.8012833570992055,ny,fraction_lo,masakhapos
f1,0.7992127896415908,ny,fraction_lo,masakhapos
precision,0.8668793503480279,ny,fraction_lo,masakhaner2
recall,0.865874855156431,ny,fraction_lo,masakhaner2
f1,0.866376811594203,ny,fraction_lo,masakhaner2
precision,0.8877785720818971,ee,fraction_lo,masakhapos
recall,0.8834303157493084,ee,fraction_lo,masakhapos
f1,0.8855991065064288,ee,fraction_lo,masakhapos
precision,0.7474980754426482,ee,fraction_lo,masakhaner2
recall,0.82991452991453,ee,fraction_lo,masakhaner2
f1,0.7865532604293236,ee,fraction_lo,masakhaner2
precision,0.8894589428204979,bm,fraction_lo,masakhapos
recall,0.8925790349417637,bm,fraction_lo,masakhapos
f1,0.8910162574649189,bm,fraction_lo,masakhapos
precision,0.7444717444717445,bm,fraction_lo,masakhaner2
recall,0.6954858454475898,bm,fraction_lo,masakhaner2
f1,0.7191455696202531,bm,fraction_lo,masakhaner2
precision,0.5156847124261832,ts,fraction_lo,AfriSenti-Twitter
recall,0.5590551181102362,ts,fraction_lo,AfriSenti-Twitter
f1,0.5364948234386548,ts,fraction_lo,AfriSenti-Twitter
precision,0.8803712808236481,fon,fraction_lo,masakhapos
recall,0.8810307295094416,fon,fraction_lo,masakhapos
f1,0.8807008817215372,fon,fraction_lo,masakhapos
precision,0.6799719887955182,fon,fraction_lo,masakhaner2
recall,0.7434915773353752,fon,fraction_lo,masakhaner2
f1,0.7103145574250183,fon,fraction_lo,masakhaner2
precision,0.7330795262267343,pcm,entropy_lo,masakhaner2
recall,0.7405982905982906,pcm,entropy_lo,masakhaner2
f1,0.7368197278911565,pcm,entropy_lo,masakhaner2
precision,0.8584968529208687,pcm,entropy_lo,masakhapos
recall,0.8586769189977462,pcm,entropy_lo,masakhapos
f1,0.8585868765182735,pcm,entropy_lo,masakhapos
precision,0.8864104196509098,pcm,entropy_lo,masakhanews
recall,0.8918032786885246,pcm,entropy_lo,masakhanews
f1,0.889098671601232,pcm,entropy_lo,masakhanews
precision,0.5694566382701874,pcm,entropy_lo,AfriSenti-Twitter
recall,0.6297544535387578,pcm,entropy_lo,AfriSenti-Twitter
f1,0.5980896215809749,pcm,entropy_lo,AfriSenti-Twitter
precision,0.8078478002378121,ha,entropy_lo,masakhaner2
recall,0.8267218301289851,ha,entropy_lo,masakhaner2
f1,0.817175847967284,ha,entropy_lo,masakhaner2
precision,0.9149660493702172,ha,entropy_lo,masakhapos
recall,0.9156462585034013,ha,entropy_lo,masakhapos
f1,0.915306027562573,ha,entropy_lo,masakhapos
precision,0.8583134130291008,ha,entropy_lo,masakhanews
recall,0.858712715855573,ha,entropy_lo,masakhanews
f1,0.8585130180124241,ha,entropy_lo,masakhanews
precision,0.7335533169388799,ha,entropy_lo,sib200
recall,0.7058823529411765,ha,entropy_lo,sib200
f1,0.7194518688171289,ha,entropy_lo,sib200
precision,0.7114007376582575,ha,entropy_lo,AfriSenti-Twitter
recall,0.6818781821610409,ha,entropy_lo,AfriSenti-Twitter
f1,0.6963266792916809,ha,entropy_lo,AfriSenti-Twitter
precision,0.8238133547868061,ha,entropy_lo,masakhaner
recall,0.89198606271777,ha,entropy_lo,masakhaner
f1,0.8565453785027185,ha,entropy_lo,masakhaner
precision,0.8276068120705109,ig,entropy_lo,masakhaner2
recall,0.8546744831842024,ig,entropy_lo,masakhaner2
f1,0.840922890103218,ig,entropy_lo,masakhaner2
precision,0.8240029382015932,ig,entropy_lo,masakhapos
recall,0.7821971420770001,ig,entropy_lo,masakhapos
f1,0.8025559844481438,ig,entropy_lo,masakhapos
precision,0.8575221737688581,ig,entropy_lo,masakhanews
recall,0.8538461538461538,ig,entropy_lo,masakhanews
f1,0.8556802157612982,ig,entropy_lo,masakhanews
precision,0.7285677495240296,ig,entropy_lo,sib200
recall,0.7254901960784313,ig,entropy_lo,sib200
f1,0.7270257159381739,ig,entropy_lo,sib200
precision,0.7558916625564653,ig,entropy_lo,AfriSenti-Twitter
recall,0.7284084736556219,ig,entropy_lo,AfriSenti-Twitter
f1,0.7418956297839915,ig,entropy_lo,AfriSenti-Twitter
precision,0.7919028340080971,ig,entropy_lo,masakhaner
recall,0.8295165394402035,ig,entropy_lo,masakhaner
f1,0.8102734051367025,ig,entropy_lo,masakhaner
precision,0.875,sw,entropy_lo,masakhaner2
recall,0.9198614318706697,sw,entropy_lo,masakhaner2
f1,0.8968700743075884,sw,entropy_lo,masakhaner2
precision,0.9008502369677759,sw,entropy_lo,masakhapos
recall,0.9106631827796442,sw,entropy_lo,masakhapos
f1,0.9057301315706024,sw,entropy_lo,masakhapos
precision,0.8324589661249846,sw,entropy_lo,masakhanews
recall,0.8277310924369747,sw,entropy_lo,masakhanews
f1,0.8300882972837922,sw,entropy_lo,masakhanews
precision,0.7367908847688259,sw,entropy_lo,sib200
recall,0.7205882352941176,sw,entropy_lo,sib200
f1,0.7285994922356642,sw,entropy_lo,sib200
precision,0.5794612032847326,sw,entropy_lo,AfriSenti-Twitter
recall,0.5922459893048129,sw,entropy_lo,AfriSenti-Twitter
f1,0.5857838473188285,sw,entropy_lo,AfriSenti-Twitter
precision,0.8133016627078384,yo,entropy_lo,masakhaner2
recall,0.852165256346441,yo,entropy_lo,masakhaner2
f1,0.8322800194457948,yo,entropy_lo,masakhaner2
precision,0.9232707747407713,yo,entropy_lo,masakhapos
recall,0.9265087324917862,yo,entropy_lo,masakhapos
f1,0.9248869196648926,yo,entropy_lo,masakhapos
precision,0.8619771801341782,yo,entropy_lo,masakhanews
recall,0.8588807785888077,yo,entropy_lo,masakhanews
f1,0.8604261936282249,yo,entropy_lo,masakhanews
precision,0.6823931128959592,yo,entropy_lo,sib200
recall,0.5931372549019608,yo,entropy_lo,sib200
f1,0.6346423228572435,yo,entropy_lo,sib200
precision,0.6851406734076725,yo,entropy_lo,AfriSenti-Twitter
recall,0.6560354374307863,yo,entropy_lo,AfriSenti-Twitter
f1,0.6702722450068517,yo,entropy_lo,AfriSenti-Twitter
precision,0.6791699920191541,yo,entropy_lo,masakhaner
recall,0.7537643932683791,yo,entropy_lo,masakhaner
f1,0.7145256087321579,yo,entropy_lo,masakhaner
precision,0.866682301805494,am,entropy_lo,masakhanews
recall,0.8430851063829787,am,entropy_lo,masakhanews
f1,0.8547208668483217,am,entropy_lo,masakhanews
precision,0.7500827009384115,am,entropy_lo,AfriSenti-Twitter
recall,0.16908454227113556,am,entropy_lo,AfriSenti-Twitter
f1,0.2759615099224221,am,entropy_lo,AfriSenti-Twitter
precision,0.48868778280542985,am,entropy_lo,masakhaner
recall,0.5806451612903226,am,entropy_lo,masakhaner
f1,0.5307125307125308,am,entropy_lo,masakhaner
precision,0.8977272727272727,sn,entropy_lo,masakhaner2
recall,0.9221789883268483,sn,entropy_lo,masakhaner2
f1,0.9097888675623801,sn,entropy_lo,masakhaner2
precision,0.8634163013670576,sn,entropy_lo,masakhapos
recall,0.8724104549854792,sn,entropy_lo,masakhapos
f1,0.8678900766575494,sn,entropy_lo,masakhapos
precision,0.8742227153942348,sn,entropy_lo,masakhanews
recall,0.8726287262872628,sn,entropy_lo,masakhanews
f1,0.8734249935890741,sn,entropy_lo,masakhanews
precision,0.47179471795118966,sn,entropy_lo,sib200
recall,0.49019607843137253,sn,entropy_lo,sib200
f1,0.48081940374892523,sn,entropy_lo,sib200
precision,0.7758024691358024,zu,entropy_lo,masakhaner2
recall,0.8186555497655029,zu,entropy_lo,masakhaner2
f1,0.7966531440162272,zu,entropy_lo,masakhaner2
precision,0.858422445613294,zu,entropy_lo,masakhapos
recall,0.8704466608846487,zu,entropy_lo,masakhapos
f1,0.8643927392815783,zu,entropy_lo,masakhapos
precision,0.6498703024381407,zu,entropy_lo,sib200
recall,0.6372549019607843,zu,entropy_lo,sib200
f1,0.6435007790261379,zu,entropy_lo,sib200
precision,0.5817205301092769,ary,entropy_lo,sib200
recall,0.5637254901960784,ary,entropy_lo,sib200
f1,0.5725816584627084,ary,entropy_lo,sib200
precision,0.4218748234769075,ary,entropy_lo,AfriSenti-Twitter
recall,0.3725092874029044,ary,entropy_lo,AfriSenti-Twitter
f1,0.3956581903244678,ary,entropy_lo,AfriSenti-Twitter
precision,0.6835248306741334,so,entropy_lo,masakhanews
recall,0.6836734693877551,so,entropy_lo,masakhanews
f1,0.6835991419511116,so,entropy_lo,masakhanews
precision,0.7195894676153628,so,entropy_lo,sib200
recall,0.7156862745098039,so,entropy_lo,sib200
f1,0.717632563749162,so,entropy_lo,sib200
precision,0.7332347140039448,rw,entropy_lo,masakhaner2
recall,0.7865644009521291,rw,entropy_lo,masakhaner2
f1,0.7589638892433329,rw,entropy_lo,masakhaner2
precision,0.9593026712270355,rw,entropy_lo,masakhapos
recall,0.9601201696512723,rw,entropy_lo,masakhapos
f1,0.9597112463494069,rw,entropy_lo,masakhapos
precision,0.7154323732192508,rw,entropy_lo,sib200
recall,0.7058823529411765,rw,entropy_lo,sib200
f1,0.7106252790928909,rw,entropy_lo,sib200
precision,0.587829845249829,rw,entropy_lo,AfriSenti-Twitter
recall,0.5877192982456141,rw,entropy_lo,AfriSenti-Twitter
f1,0.5877745665498784,rw,entropy_lo,AfriSenti-Twitter
precision,0.5756802721088435,rw,entropy_lo,masakhaner
recall,0.6993801652892562,rw,entropy_lo,masakhaner
f1,0.6315298507462686,rw,entropy_lo,masakhaner
precision,0.7179161372299873,tw,entropy_lo,masakhaner2
recall,0.7687074829931972,tw,entropy_lo,masakhaner2
f1,0.7424441524310118,tw,entropy_lo,masakhaner2
precision,0.8188853147575669,tw,entropy_lo,masakhapos
recall,0.8264503441494592,tw,entropy_lo,masakhapos
f1,0.8226504379658277,tw,entropy_lo,masakhapos
precision,0.6410274699231289,tw,entropy_lo,sib200
recall,0.6421568627450981,tw,entropy_lo,sib200
f1,0.6415916693173895,tw,entropy_lo,sib200
precision,0.6270148137225856,tw,entropy_lo,AfriSenti-Twitter
recall,0.6375131717597471,tw,entropy_lo,AfriSenti-Twitter
f1,0.6322204130328712,tw,entropy_lo,AfriSenti-Twitter
precision,0.7599306335360243,ln,entropy_lo,masakhanews
recall,0.7714285714285715,ln,entropy_lo,masakhanews
