id,length
64661,1619
43905,2628
45545,837
56537,1848
96925,449
44459,749
57225,5879
32299,349
4186,4619
34033,5816
98458,3475
67393,3935
25450,903
86840,2357
50257,670
42701,1289
72768,2876
74880,1176
38541,76
86212,2925
47156,649
97074,4396
44073,1724
34060,1686
2611,6930
67996,2339
41691,4328
95979,651
54051,1710
73883,1588
96202,1248
26831,13880
74853,337
86989,2065
45075,776
61341,6219
77867,2817
42244,320
55873,3854
67277,5501
26004,24348
64082,1401
98573,1812
72645,1703
6906,2436
45565,446
28744,5016
62240,486
61260,3998
99169,5802
74329,2690
29195,4586
70746,1284
3886,1827
69133,2543
34080,310
60904,1067
84488,2770
51764,7264
70824,1628
64824,596
77983,997
50242,308
87596,2231
35457,802
52677,369
50314,687
42439,2240
45470,1663
38583,2063
39849,4119
51724,1924
36533,5693
33510,12513
34372,1363
22486,1984
61725,1476
41033,805
37247,2156
7056,1596
78980,4141
30524,373
57348,3168
4508,4171
56451,22
31914,468
7019,512
42545,1475
71098,2476
86216,2176
43763,253
40635,700
35260,2187
98528,924
55111,3009
43764,2570
56318,2776
46696,754
36105,3270
2226,2044
45805,1878
34235,6813
74150,4260
73049,430
74022,11608
37589,380
28135,68327
81786,460
2898,730
6567,1934
68222,1765
83938,722
38032,1876
55026,2325
49964,428
83604,2607
3260,687
28202,4253
79031,1927
5285,3857
7842,1291
84849,2569
39008,1195
37267,1699
84064,2608
98194,2141
59022,549
3388,1596
33356,3085
7442,1205
70706,3390
52395,546
54695,624
4214,3551
74848,751
38574,399
4322,423
75784,3511
87616,1019
85856,2525
21927,1560
97786,2279
62474,825
4338,4024
31047,215
87241,1258
87462,1159
5491,5716
41211,1948
64323,3078
95784,1401
40849,609
83352,1641
82496,3460
61871,1485
59507,5928
69183,605
66376,1288
71049,1158
41928,784
23843,1768
7119,667
31855,3198
63457,951
98490,5295
38064,1443
82332,2432
36008,2775
66648,3092
30475,11200
36622,1521
51619,1286
80482,235
31095,368
67900,2081
79479,34
64477,6169
67580,1839
28563,394
69454,1772
87802,2145
85428,4114
72429,9115
61809,629
80967,1190
71321,1686
32561,370
72726,607
80054,664
51701,1058
21869,136
39655,3895
32459,1373
64908,1271
28263,579
34964,1067
43564,302
44171,2493
49894,2158
71486,15744
54062,3275
85569,2612
32493,575
35228,6907
54184,2515
83283,2856
96302,6162
85631,2075
6945,1288
59684,4390
97959,1732
97268,381
76104,2762
79929,2165
75391,286
98090,748
42502,2416
87597,3526
83360,2532
71428,1740
69014,9742
42425,4312
39173,1916
98812,3468
76155,5984
44307,1436
81853,5992
95861,2604
71016,3669
38771,3134
53885,1189
60986,2064
41367,3155
36101,2370
40016,1886
70938,3496
73897,2292
43917,2750
81087,3474
39776,1197
9776,867
34330,1585
75348,978
42398,2118
21641,1847
41399,1525
31961,1806
38576,402
39271,261
72600,16573
36913,1295
47455,905
40261,2479
86265,2101
34304,224
72239,1585
46063,3180
63316,769
34901,136
87441,3028
48977,2842
54237,3734
50717,2007
60816,4070
87678,1995
34799,1748
41975,1244
42136,1976
35588,563
64388,5834
87419,1003
72147,1684
97809,1302
38794,545
51302,871
35598,1046
68796,2431
7738,9673
39343,290
39424,400
51078,1826
34794,6640
64266,333
33911,4381
40009,1865
80280,11383
73522,10947
46854,1025
37470,2341
56428,1250
51681,1440
56734,3484
59676,1953
76109,2236
85855,2190
26600,2503
43704,289
29423,474
35169,1715
76108,459
66399,2572
86829,2119
50732,2436
42173,1519
41520,3003
87755,2199
8843,3584
37870,5732
37441,948
80952,331
55073,2100
41128,1656
86391,2779
2208,24072
42418,1469
31841,117
67459,3205
41488,1071
81803,1406
74801,2485
36871,2870
98247,1123
26886,1757
41595,1579
65381,2758
41824,2913
49314,1176
43717,285
85922,2087
62920,1581
84411,1360
66401,1337
37323,1156
79619,1267
37857,3240
67084,4361
80624,1207
45496,3898
68256,2154
73933,5304
86715,2327
87022,797
71020,794
78084,2426
97805,7721
68066,28402
39005,1582
79709,3564
35648,837
62938,1605
50313,2508
64452,3619
47357,369
25589,7328
43647,273
74667,8261
73934,5068
56071,286
60278,2544
34659,1043
97731,921
40561,10189
63291,650
78603,130
67936,2019
82126,2366
42354,1229
71582,2239
54670,2602
82814,1092
62169,2169
88003,297
77865,1586
83451,1014
82848,5915
36753,1910
72605,698
43972,1036
87821,2802
9982,3953
70621,874
3296,1710
40378,590
37071,7985
82580,1245
51575,1974
36847,3538
3223,1141
71805,1251
41754,176
43021,1021
37559,8968
41042,3028
41183,1820
41377,1545
70984,1629
79973,2718
53868,1586
86704,2266
55259,2408
82348,1182
31933,5912
7004,381
52350,1021
25561,711
59510,2230
52388,694
56445,1901
2096,68
50794,3146
71006,2381
38990,797
86152,2245
68095,2438
51052,2559
60597,955
87444,1393
9772,1534
31748,859
31846,232
99087,891
54602,195
49051,741
42253,449
41940,939
68322,2128
86249,2570
63321,844
95988,1351
95960,1115
62400,1202
32477,1475
88255,542
56024,5253
74487,2286
64446,567
64144,1092
44561,1498
68516,3001
62473,707
68167,2751
42145,1823
5086,691
55066,3011
73467,732
71485,474
85373,6669
50145,3254
7944,223
58918,1379
66575,2257
55363,2431
38049,895
70729,507
40940,4011
97531,1251
79942,2753
67761,1944
56998,3489
78930,2135
41970,3033
41663,2796
65632,1913
71236,5350
81989,2286
51874,13406
72960,587
38471,819
97136,3572
38096,1086
72942,281
65807,520
43574,2058
