id,trigrams
64661,255
43905,441
45545,145
56537,309
96925,102
44459,135
57225,1075
32299,58
4186,796
34033,1162
98458,607
67393,659
25450,167
86840,403
50257,123
42701,241
72768,531
74880,201
38541,10
86212,480
47156,128
97074,785
44073,229
34060,316
2611,1187
67996,405
41691,772
95979,102
54051,276
73883,229
96202,200
26831,2317
74853,64
86989,389
45075,136
61341,941
77867,478
42244,58
55873,652
67277,907
26004,3839
64082,239
98573,310
72645,318
6906,392
45565,84
28744,874
62240,85
61260,672
99169,1032
74329,443
29195,801
70746,216
3886,289
69133,326
34080,54
60904,165
84488,455
51764,1311
70824,298
64824,96
77983,162
50242,49
87596,368
35457,151
52677,56
50314,123
42439,384
45470,304
38583,343
39849,686
51724,297
36533,968
33510,2109
34372,186
22486,317
61725,275
41033,141
37247,368
7056,263
78980,686
30524,70
57348,538
4508,756
56451,0
31914,88
7019,90
42545,238
71098,467
86216,355
43763,50
40635,111
35260,379
98528,147
55111,558
43764,513
56318,526
46696,122
36105,493
2226,375
45805,330
34235,1203
74150,698
73049,60
74022,1912
37589,68
28135,10907
81786,74
2898,131
6567,340
68222,309
83938,126
38032,303
55026,411
49964,72
83604,484
3260,128
28202,743
79031,366
5285,595
7842,251
84849,434
39008,188
37267,295
84064,462
98194,328
59022,99
3388,259
33356,602
7442,198
70706,579
52395,98
54695,98
4214,602
74848,129
38574,85
4322,74
75784,614
87616,190
85856,437
21927,237
97786,367
62474,137
4338,720
31047,28
87241,198
87462,187
5491,1066
41211,327
64323,479
95784,229
40849,115
83352,277
82496,593
61871,226
59507,1017
69183,99
66376,246
71049,225
41928,141
23843,322
7119,95
31855,508
63457,171
98490,880
38064,241
82332,423
36008,473
66648,553
30475,1828
36622,269
51619,253
80482,38
31095,67
67900,361
79479,1
64477,1025
67580,325
28563,60
69454,334
87802,333
85428,719
72429,1563
61809,95
80967,233
71321,262
32561,59
72726,104
80054,98
51701,167
21869,16
39655,704
32459,247
64908,227
28263,89
34964,187
43564,47
44171,429
49894,365
71486,2655
54062,555
85569,476
32493,86
35228,1237
54184,428
83283,505
96302,1070
85631,347
6945,248
59684,731
97959,312
97268,66
76104,470
79929,392
75391,52
98090,122
42502,471
87597,589
83360,400
71428,339
69014,1128
42425,682
39173,353
98812,517
76155,927
44307,216
81853,1000
95861,423
71016,614
38771,510
53885,202
60986,361
41367,536
36101,386
40016,340
70938,665
73897,358
43917,462
81087,612
39776,197
9776,127
34330,326
75348,163
42398,383
21641,325
41399,243
31961,290
38576,86
39271,36
72600,2677
36913,227
47455,146
40261,416
86265,355
34304,44
72239,275
46063,560
63316,126
34901,29
87441,580
48977,467
54237,527
50717,348
60816,665
87678,385
34799,300
41975,212
42136,295
35588,99
64388,989
87419,188
72147,262
97809,228
38794,94
51302,161
35598,192
68796,421
7738,1644
39343,59
39424,78
51078,271
34794,1150
64266,59
33911,740
40009,333
80280,2012
73522,1751
46854,184
37470,405
56428,236
51681,229
56734,598
59676,374
76109,400
85855,411
26600,420
43704,38
29423,82
35169,304
76108,78
66399,440
86829,373
50732,418
42173,303
41520,512
87755,355
8843,596
37870,1027
37441,167
80952,53
55073,398
41128,241
86391,452
2208,4382
42418,257
31841,25
67459,484
41488,191
81803,254
74801,450
36871,526
98247,217
26886,281
41595,263
65381,457
41824,460
49314,162
43717,42
85922,366
62920,265
84411,223
66401,237
37323,204
79619,194
37857,563
67084,742
80624,192
45496,712
68256,401
73933,836
86715,407
87022,144
71020,133
78084,382
97805,1304
68066,5016
39005,276
79709,607
35648,136
62938,265
50313,416
64452,599
47357,60
25589,1305
43647,38
74667,1340
73934,859
56071,42
60278,433
34659,182
97731,154
40561,1794
63291,108
78603,20
67936,369
82126,413
42354,169
71582,367
54670,408
82814,177
62169,365
88003,52
77865,292
83451,195
82848,1012
36753,303
72605,135
43972,178
87821,462
9982,562
70621,150
3296,326
40378,126
37071,1344
82580,208
51575,268
36847,564
3223,172
71805,206
41754,30
43021,177
37559,1437
41042,551
41183,338
41377,316
70984,303
79973,506
53868,292
86704,371
55259,456
82348,205
31933,964
7004,72
52350,159
25561,122
59510,382
52388,142
56445,288
2096,12
50794,517
71006,424
38990,136
86152,367
68095,440
51052,488
60597,153
87444,224
9772,260
31748,181
31846,40
99087,142
54602,39
49051,151
42253,80
41940,130
68322,346
86249,430
63321,151
95988,259
95960,180
62400,202
32477,239
88255,97
56024,946
74487,382
64446,85
64144,160
44561,245
68516,561
62473,125
68167,442
42145,314
5086,90
55066,489
73467,127
71485,71
85373,1154
50145,553
7944,24
58918,249
66575,329
55363,443
38049,142
70729,71
40940,634
97531,194
79942,462
67761,342
56998,537
78930,413
41970,478
41663,451
65632,309
71236,772
81989,389
51874,2476
72960,90
38471,143
97136,584
38096,200
72942,28
65807,99
43574,356
66556,423
39860,287
65924,23
76022,466
26444,444
78024,604
36613,724
37344,290
96108,100
54582,593
41605,71
99070,86
80771,358
50291,346
47932,268
34026,3970
41603,148
96422,184
43681,39
76279,395
96876,224
48071,211
37636,192
98527,363
37135,233
44410,89
74067,283
43013,322
40608,721
56268,502
82418,405
66270,357
98304,246
32007,140
96962,309
73268,182
53764,797
68133,383
74873,184
73955,490
60932,103
83152,1155
25624,869
83047,3014
96447,476
74029,309
60575,952
85791,584
5150,1327
41266,479
98048,100
74170,550
62684,722
9882,27
34138,190
74400,440
7559,292
60569,244
58962,300
66387,336
87513,384
41999,238
42868,191
69661,201
40815,219
34213,489
98212,266
64402,99
54910,719
25481,3525
60602,125
6442,106
32019,43
60270,22
55358,1919
52347,146
62706,238
56911,180
23132,581
41032,265
52516,1060
79518,115
77841,99
50647,506
28569,413
4744,2552
68422,407
54691,601
32602,94
59381,160
36230,379
82522,92
69679,71
37029,280
54103,1457
41202,131
42286,126
59564,803
64039,168
68056,399
56669,395
85680,592
45005,477
76536,63
36164,285
72641,236
35346,2447
76894,690
75150,1544
71639,68
78914,682
62582,232
41611,360
25549,619
4715,534
79655,727
66567,429
37941,418
4113,395
71538,566
74809,476
85081,421
82229,286
79849,475
24351,338
41188,314
35491,471
41628,382
50729,342
87253,451
75144,367
43695,38
72803,409
52631,296
75257,376
42268,46
43040,246
