id,unique_words
64661,159
43905,213
45545,101
56537,188
96925,74
44459,104
57225,551
32299,44
4186,493
34033,583
98458,332
67393,359
25450,114
86840,251
50257,88
42701,167
72768,277
74880,135
38541,12
86212,291
47156,82
97074,400
44073,143
34060,212
2611,676
67996,241
41691,405
95979,75
54051,186
73883,138
96202,151
26831,864
74853,47
86989,230
45075,103
61341,484
77867,299
42244,48
55873,399
67277,498
26004,1515
64082,167
98573,196
72645,197
6906,253
45565,70
28744,502
62240,65
61260,385
99169,559
74329,274
29195,444
70746,153
3886,202
69133,198
34080,47
60904,133
84488,299
51764,531
70824,207
64824,69
77983,101
50242,46
87596,220
35457,115
52677,48
50314,92
42439,241
45470,213
38583,209
39849,372
51724,179
36533,548
33510,959
34372,144
22486,213
61725,156
41033,94
37247,264
7056,139
78980,366
30524,49
57348,304
4508,437
56451,2
31914,73
7019,61
42545,134
71098,273
86216,214
43763,38
40635,74
35260,215
98528,114
55111,319
43764,319
56318,289
46696,84
36105,253
2226,243
45805,221
34235,635
74150,459
73049,53
74022,841
37589,47
28135,3119
81786,60
2898,92
6567,228
68222,201
83938,91
38032,198
55026,258
49964,61
83604,252
3260,88
28202,427
79031,210
5285,343
7842,190
84849,243
39008,126
37267,203
84064,261
98194,200
59022,71
3388,158
33356,326
7442,118
70706,332
52395,75
54695,77
4214,327
74848,92
38574,61
4322,59
75784,389
87616,135
85856,265
21927,163
97786,236
62474,96
4338,417
31047,28
87241,129
87462,134
5491,526
41211,216
64323,262
95784,161
40849,87
83352,166
82496,327
61871,140
59507,625
69183,80
66376,154
71049,150
41928,97
23843,221
7119,64
31855,312
63457,125
98490,491
38064,169
82332,266
36008,217
66648,320
30475,799
36622,165
51619,157
80482,35
31095,49
67900,224
79479,3
64477,551
67580,218
28563,39
69454,199
87802,197
85428,398
72429,774
61809,70
80967,141
71321,166
32561,45
72726,90
80054,82
51701,108
21869,16
39655,388
32459,160
64908,146
28263,76
34964,123
43564,41
44171,262
49894,249
71486,1202
54062,363
85569,290
32493,68
35228,529
54184,273
83283,256
96302,557
85631,240
6945,156
59684,446
97959,218
97268,51
76104,293
79929,251
75391,48
98090,90
42502,268
87597,371
83360,255
71428,195
69014,570
42425,403
39173,222
98812,239
76155,474
44307,112
81853,528
95861,274
71016,362
38771,310
53885,154
60986,213
41367,315
36101,260
40016,223
70938,330
73897,219
43917,223
81087,336
39776,138
9776,100
34330,217
75348,120
42398,199
21641,218
41399,149
31961,178
38576,62
39271,28
72600,1021
36913,164
47455,106
40261,251
86265,227
34304,39
72239,172
46063,313
63316,90
34901,26
87441,313
48977,318
54237,278
50717,211
60816,406
87678,233
34799,197
41975,139
42136,157
35588,72
64388,483
87419,143
72147,194
97809,153
38794,73
51302,121
35598,133
68796,265
7738,655
39343,43
39424,60
51078,176
34794,635
64266,41
33911,437
40009,189
80280,795
73522,561
46854,121
37470,269
56428,177
51681,147
56734,343
59676,213
76109,237
85855,249
26600,280
43704,29
29423,66
35169,183
76108,67
66399,269
86829,245
50732,263
42173,177
41520,285
87755,232
8843,367
37870,487
37441,112
80952,45
55073,199
41128,187
86391,283
2208,1842
42418,167
31841,25
67459,303
41488,132
81803,158
74801,274
36871,304
98247,121
26886,149
41595,185
65381,279
41824,276
49314,107
43717,30
85922,257
62920,163
84411,132
66401,146
37323,150
79619,128
37857,320
67084,367
80624,146
45496,379
68256,251
73933,473
86715,252
87022,109
71020,113
78084,234
97805,679
68066,1666
39005,174
79709,341
35648,98
62938,172
50313,235
64452,319
47357,51
25589,659
43647,29
74667,668
73934,487
56071,33
60278,252
34659,112
97731,108
40561,747
63291,78
78603,19
67936,235
82126,258
42354,114
71582,214
54670,256
82814,123
62169,234
88003,40
77865,189
83451,150
82848,512
36753,204
72605,90
43972,105
87821,251
9982,330
70621,99
3296,224
40378,78
37071,660
82580,139
51575,171
36847,360
3223,125
71805,143
41754,28
43021,127
37559,701
41042,336
41183,199
41377,202
70984,180
79973,278
53868,147
86704,224
55259,244
82348,154
31933,510
7004,57
52350,98
25561,95
59510,233
52388,94
56445,215
2096,10
50794,296
71006,259
38990,103
86152,226
68095,248
51052,274
60597,109
87444,130
9772,166
31748,123
31846,36
99087,110
54602,32
49051,101
42253,66
41940,83
68322,230
86249,267
63321,99
95988,184
95960,125
62400,137
32477,154
88255,77
56024,489
74487,264
64446,73
64144,114
44561,184
68516,331
62473,86
68167,270
42145,182
5086,68
55066,275
73467,92
71485,60
85373,587
50145,346
7944,24
58918,169
66575,191
55363,266
38049,95
70729,56
40940,392
97531,124
79942,279
67761,196
56998,286
78930,260
41970,249
41663,274
65632,194
71236,402
81989,254
51874,1110
72960,66
38471,107
97136,359
38096,143
72942,26
65807,78
43574,220
66556,241
39860,172
65924,23
76022,259
26444,277
78024,337
36613,351
37344,209
96108,76
54582,322
41605,53
99070,62
80771,203
50291,203
47932,159
34026,1768
41603,101
96422,130
43681,29
76279,239
96876,167
48071,129
37636,139
98527,227
37135,178
44410,69
74067,193
43013,193
40608,432
56268,287
82418,261
66270,224
98304,155
32007,104
96962,188
73268,109
53764,436
68133,244
74873,131
73955,278
60932,65
83152,613
25624,471
83047,1261
96447,300
74029,211
60575,513
85791,364
5150,726
41266,309
98048,93
74170,352
62684,374
9882,26
34138,122
74400,238
7559,195
60569,150
58962,169
66387,189
87513,230
41999,128
42868,123
69661,141
40815,139
34213,275
98212,188
64402,72
54910,333
25481,1274
60602,92
6442,86
32019,37
60270,17
55358,772
52347,102
62706,146
56911,124
23132,337
41032,168
52516,534
79518,84
77841,74
50647,276
28569,248
4744,1179
68422,228
54691,354
32602,72
59381,116
36230,218
82522,58
69679,54
37029,196
54103,746
41202,90
42286,89
59564,422
64039,128
68056,276
56669,249
85680,352
45005,261
76536,46
36164,193
72641,154
35346,970
76894,390
75150,682
71639,53
78914,371
62582,134
41611,222
25549,351
4715,346
79655,374
66567,280
37941,280
4113,240
71538,345
74809,321
85081,242
82229,201
79849,264
24351,210
41188,208
35491,311
41628,199
50729,227
87253,250
75144,201
43695,29
72803,250
52631,199
75257,206
42268,36
43040,164
9898,120
43511,59
