id,length
60,353
61,325
62,284
63,119
64,1317
65,3994
66,2176
67,766
68,1133
69,4262
70,1198
71,353
72,971
73,443
74,618
75,2890
76,3453
77,1207
79,628
80,436
81,159
82,405
83,1640
84,928
85,1299
86,10152
87,3024
88,3414
89,3115
90,152
91,1939
92,1920
93,1485
94,1263
95,571
96,390
97,1840
98,1290
99,2119
100,721
101,1006
102,850
103,1242
104,3214
105,503
106,1628
107,3374
108,209
109,568
110,1948
111,180
113,1611
114,773
115,715
116,302
117,1033
118,313
119,712
120,162
121,88
122,821
123,394
124,2563
125,181
126,6188
127,1173
128,2673
129,4085
130,1246
131,158
132,976
133,169
134,1268
135,205
136,218
137,150
138,560
139,163
140,286
141,2389
143,183
144,5425
145,222
146,253
148,264
150,1067
151,622
153,4485
155,1259
156,383
157,7000
158,1725
160,58
161,520
162,3101
163,282
164,2988
165,439
166,393
167,166
168,180
169,4678
170,209
171,1645
173,317
175,248
177,568
178,419
179,1570
180,989
181,1224
182,1007
183,1438
184,1480
185,89
186,1543
187,214
188,1098
190,688
191,1847
192,284
194,586
195,225
196,229
197,480
198,847
199,1353
201,76
202,619
203,492
204,240
205,2114
206,209
207,632
208,2325
209,352
210,516
211,454
212,228
213,2663
214,3113
215,1857
216,167
217,1420
218,1079
219,2297
220,2078
221,564
223,1169
224,3290
225,328
226,2823
227,180
228,646
229,341
230,17366
231,501
232,906
233,1228
234,2553
235,881
236,150
237,1512
238,823
239,169
240,546
241,1068
242,178
243,205
244,1230
245,944
246,1247
247,87
248,1043
249,149
250,2161
251,817
252,1840
253,81
256,1576
257,663
258,346
259,888
260,3280
261,938
262,762
264,4239
265,1383
266,811
267,1516
268,719
269,1364
270,1043
271,865
272,867
273,1130
274,497
275,23617
471,1183
472,914
473,803
475,605
476,338
477,247
478,448
479,1552
480,506
481,489
482,619
483,180
484,1238
485,734
486,488
487,2623
488,419
489,1210
491,400
493,1286
495,79
496,2466
497,1361
498,1499
499,228
500,726
501,1045
502,168
503,1944
504,433
505,109
506,264
507,984
508,382
509,568
510,227
511,1104
512,3396
513,353
514,826
515,1039
516,1993
517,671
518,434
519,966
520,1027
521,1488
522,289
523,751
524,44
525,666
527,119
528,1783
530,1408
531,100
532,1423
533,149
534,579
535,2561
536,122
537,3226
538,335
539,328
540,964
541,2227
542,293
543,89
544,1544
545,1821
546,677
547,271
548,302
549,1260
550,1063
551,1114
552,2170
553,225
554,794
555,476
556,1335
557,962
558,1697
559,1068
561,455
562,1498
563,346
564,1417
565,90
566,196
568,2165
570,945
571,1609
572,1447
573,2676
574,317
575,1240
576,471
579,138
583,1518
584,402
585,384
586,328
587,1486
588,2797
589,1281
590,757
591,159
592,744
593,622
594,496
595,81
597,81
598,967
599,1834
600,625
601,633
602,1246
603,610
604,1092
605,854
606,597
608,480
610,1119
611,1144
612,798
613,670
614,780
615,1117
616,1609
617,378
618,498
619,3494
620,87
621,470
622,183
623,483
624,996
625,56
626,762
627,927
628,1370
629,730
630,3320
631,925
632,1985
633,81
634,1508
635,491
637,1006
638,1033
639,1771
640,239
641,183
642,2158
644,91
647,1465
649,764
650,557
651,1155
653,218
654,956
655,1893
656,91
658,412
659,61
660,2344
661,265
664,1437
665,473
666,1400
667,369
668,907
669,1372
670,1144
671,852
673,928
674,188
675,170
676,903
677,373
678,1569
679,203
680,854
681,614
682,1723
683,930
684,2428
685,79
686,801
687,103
688,322
689,511
690,728
691,440
692,554
693,410
694,365
695,973
696,432
697,506
698,299
699,1114
700,1528
701,644
702,162
704,333
705,251
706,469
707,1168
708,727
709,3164
710,2294
711,142
712,3489
714,154
715,669
716,632
717,1351
718,122
719,6321
720,951
721,467
722,1805
724,90
725,270
726,173
727,369
728,853
729,253
730,867
731,976
732,85
734,1491
736,292
737,2642
738,107
739,5663
740,92
742,2321
743,504
744,865
745,2148
746,287
747,696
748,2290
749,1833
790,207
791,586
792,1997
793,2062
794,582
797,1549
798,2629
799,613
800,614
801,733
802,295
803,428
805,461
807,511
809,764
810,609
811,673
812,308
813,881
814,1006
815,200
816,599
817,1430
818,635
819,448
820,218
822,1402
823,1682
824,919
825,3859
826,185
827,981
828,433
829,973
830,1482
831,487
832,1876
834,268
835,904
836,1317
837,1317
838,492
840,814
841,1118
842,744
844,394
845,1241
846,1083
847,6142
848,620
849,804
850,1036
851,3878
853,2223
854,630
855,221
856,87
857,287
858,937
859,2841
860,1934
861,129
862,2436
863,804
864,1810
865,797
866,456
867,1024
868,2179
869,1106
870,1114
871,902
