id,trigrams
60,68
61,61
62,56
63,20
64,252
65,755
66,430
67,139
68,185
69,724
70,216
71,60
72,152
73,81
74,103
75,492
76,561
77,183
79,117
80,83
81,30
82,73
83,273
84,173
85,265
86,1906
87,590
88,586
89,540
90,26
91,326
92,349
93,291
94,237
95,111
96,80
97,332
98,239
99,374
100,123
101,181
102,140
103,217
104,570
105,84
106,301
107,598
108,35
109,106
110,394
111,32
113,320
114,144
115,127
116,60
117,173
118,61
119,126
120,31
121,15
122,151
123,70
124,433
125,34
126,1144
127,211
128,476
129,708
130,220
131,30
132,175
133,28
134,213
135,34
136,35
137,25
138,96
139,32
140,50
141,413
143,27
144,988
145,39
146,45
148,42
150,171
151,111
153,757
155,229
156,73
157,1392
158,330
160,12
161,100
162,578
163,46
164,476
165,78
166,72
167,30
168,35
169,890
170,38
171,266
173,65
175,42
177,107
178,72
179,295
180,178
181,187
182,180
183,235
184,261
185,15
186,290
187,32
188,193
190,123
191,323
192,54
194,115
195,43
196,43
197,81
198,141
199,239
201,11
202,110
203,83
204,40
205,385
206,34
207,122
208,401
209,69
210,86
211,93
212,45
213,413
214,507
215,325
216,30
217,258
218,195
219,430
220,390
221,100
223,209
224,603
225,62
226,514
227,37
228,121
229,60
230,3038
231,98
232,168
233,196
234,473
235,178
236,29
237,298
238,121
239,30
240,99
241,199
242,34
243,43
244,245
245,181
246,249
247,18
248,192
249,30
250,405
251,154
252,303
253,16
256,277
257,118
258,66
259,164
260,624
261,180
262,139
264,726
265,267
266,160
267,280
268,128
269,247
270,195
271,171
272,159
273,224
274,93
275,4544
471,215
472,153
473,141
475,111
476,55
477,46
478,80
479,285
480,96
481,85
482,112
483,30
484,253
485,139
486,83
487,420
488,85
489,234
491,74
493,212
495,13
496,454
497,257
498,278
499,41
500,144
501,190
502,30
503,370
504,86
505,19
506,51
507,171
508,73
509,92
510,41
511,181
512,569
513,54
514,149
515,200
516,342
517,121
518,71
519,160
520,204
521,288
522,54
523,145
524,6
525,134
527,20
528,331
530,271
531,16
532,290
533,25
534,106
535,488
536,22
537,649
538,65
539,64
540,189
541,405
542,60
543,16
544,298
545,352
546,109
547,56
548,55
549,242
550,205
551,206
552,396
553,44
554,149
555,83
556,231
557,186
558,305
559,200
561,75
562,248
563,64
564,265
565,17
566,37
568,345
570,173
571,297
572,255
573,508
574,59
575,239
576,86
579,24
583,267
584,74
585,79
586,65
587,273
588,520
589,245
590,158
591,28
592,135
593,118
594,92
595,15
597,15
598,187
599,360
600,122
601,105
602,224
603,115
604,212
605,165
606,114
608,92
610,186
611,213
612,149
613,117
614,146
615,216
616,284
617,54
618,92
619,616
620,15
621,82
622,33
623,94
624,184
625,9
626,138
627,176
628,264
629,137
630,632
631,197
632,380
633,12
634,259
635,98
637,187
638,182
639,332
640,48
641,28
642,404
644,16
647,276
649,144
650,98
651,200
653,42
654,181
655,379
656,18
658,69
659,14
660,441
661,50
664,261
665,93
666,252
667,73
668,177
669,257
670,180
671,164
673,161
674,37
675,31
676,151
677,73
678,290
679,37
