id,unique_subwords
60,71
61,62
62,71
63,29
64,188
65,351
66,270
67,111
68,178
69,387
70,178
71,63
72,161
73,99
74,114
75,299
76,334
77,164
79,123
80,92
81,34
82,83
83,219
84,132
85,176
86,502
87,334
88,381
89,315
90,40
91,316
92,260
93,177
94,190
95,94
96,72
97,272
98,190
99,291
100,130
101,157
102,138
103,195
104,355
105,101
106,254
107,336
108,48
109,118
110,265
111,46
113,207
114,149
115,134
116,83
117,157
118,78
119,138
120,34
121,21
122,118
123,76
124,321
125,57
126,543
127,159
128,319
129,387
130,171
131,35
132,164
133,23
134,176
135,38
136,42
137,34
138,110
139,50
140,81
141,307
143,36
144,396
145,45
146,57
148,57
150,175
151,105
153,440
155,208
156,94
157,548
158,240
160,18
161,94
162,399
163,79
164,340
165,96
166,87
167,38
168,42
169,405
170,54
171,257
173,62
175,65
177,113
178,96
179,228
180,174
181,202
182,184
183,216
184,221
185,34
186,226
187,49
188,171
190,126
191,266
192,64
194,115
195,67
196,55
197,97
198,137
199,188
201,28
202,127
203,110
204,49
205,286
206,59
207,115
208,295
209,79
210,110
211,102
212,60
213,331
214,313
215,241
216,39
217,227
218,173
219,318
220,278
221,132
223,201
224,277
225,71
226,296
227,53
228,121
229,98
230,917
231,89
232,163
233,234
234,346
235,145
236,36
237,231
238,151
239,47
240,111
241,168
242,41
243,48
244,188
245,167
246,172
247,27
248,175
249,36
250,295
251,140
252,262
253,23
256,239
257,124
258,83
259,164
260,376
261,149
262,123
264,398
265,209
266,125
267,184
268,139
269,211
270,166
271,119
272,160
273,152
274,96
275,1052
471,168
472,126
473,148
475,102
476,85
477,58
478,110
479,233
480,103
481,92
482,122
483,48
484,190
485,133
486,102
487,334
488,84
489,170
491,100
493,198
495,28
496,296
497,183
498,217
499,65
500,119
501,162
502,44
503,260
504,80
505,26
506,52
507,158
508,77
509,112
510,55
511,134
512,355
513,79
514,145
515,170
516,250
517,137
518,97
519,133
520,167
521,219
522,73
523,133
524,13
525,142
527,34
528,282
530,180
531,32
532,199
533,32
534,137
535,346
536,39
537,316
538,81
539,76
540,136
541,254
542,66
543,21
544,252
545,284
546,150
547,64
548,73
549,186
550,183
551,186
552,297
553,60
554,136
555,103
556,235
557,155
558,259
559,166
561,110
562,247
563,63
564,215
565,22
566,48
568,273
570,181
571,236
572,215
573,325
574,68
575,187
576,99
579,42
583,201
584,101
585,81
586,74
587,212
588,297
589,180
590,130
591,43
592,162
593,112
594,98
595,23
597,31
598,173
599,259
600,126
601,137
602,212
603,117
604,196
605,149
606,105
608,103
610,188
611,197
612,135
613,118
614,148
615,179
616,224
617,92
618,122
619,307
620,29
621,104
622,45
623,88
624,196
625,22
626,133
627,177
628,206
629,128
630,318
631,151
632,259
633,19
634,206
635,101
637,151
638,183
639,235
640,64
641,44
642,279
644,22
647,230
649,118
650,108
651,175
653,57
654,172
655,251
656,21
658,100
659,19
660,291
661,69
664,239
665,92
666,239
667,72
668,147
669,206
670,202
671,155
673,172
674,43
675,50
676,135
677,61
678,229
679,52
680,162
681,118
682,252
683,159
684,307
685,22
686,140
687,27
688,72
689,100
690,150
691,83
692,120
693,84
694,79
695,158
696,80
697,113
698,77
699,186
700,226
701,125
702,48
704,65
705,58
706,81
707,145
708,124
709,352
710,349
711,44
712,350
714,45
715,112
716,99
717,223
718,35
719,573
720,168
721,100
722,265
724,17
725,58
726,32
727,83
728,177
729,66
730,131
731,165
732,21
734,238
736,62
737,324
738,32
739,474
740,21
742,297
743,116
744,152
745,222
746,69
747,129
748,299
749,267
790,58
791,119
792,261
793,251
794,127
797,193
798,350
799,120
800,116
801,136
802,53
803,82
805,94
807,109
809,175
810,135
811,122
812,71
813,149
814,162
815,54
816,127
817,221
818,113
819,83
820,61
822,189
823,251
824,159
825,384
826,51
827,170
828,104
829,159
830,198
831,104
832,267
834,65
835,162
836,188
837,188
838,107
840,133
841,156
842,152
844,65
845,210
846,182
847,449
848,104
849,149
850,172
851,440
853,235
854,115
855,59
856,21
857,64
858,152
859,330
860,274
861,31
862,266
863,165
864,242
865,141
866,109
867,176
868,254
869,171
870,193
871,167
872,146
873,77
874,81
875,66
876,136
877,158
878,190
879,76
880,81
881,254
882,227
883,115
884,66
885,172
886,30
887,49
888,150
889,210
890,175
891,107
892,232
893,228
894,41
895,38
896,77
897,161
898,230
899,246
900,287
901,48
902,116
903,23
904,173
905,80
906,121
907,55
908,177
910,14
913,342
914,125
915,202
916,256
917,20
918,179
919,47
920,189
921,149
922,25
923,204
924,94
925,63
926,44
928,42
930,162
931,180
939,411
940,106
943,102
945,85
946,272
949,204
950,448
952,141
954,120
1175,252
1176,49
1178,52
1179,353
1181,112
1182,113
1183,219
1184,473
1192,58
1260,116
1269,306
1270,178
1272,182
1289,35
1290,119
1336,305
1384,67
1385,73
1406,198
1549,72
1553,101
1554,100
1555,10
1559,100
1560,647
1561,80
1564,263
1565,69
1566,551
1570,250
1571,200
1574,313
1575,200
1577,335
1578,163
1582,132
1583,120
1584,50
1586,86
1589,84
1590,249
1592,180
1593,117
1594,41
1595,212
1596,127
1597,224
1599,274
1601,86
1602,311
1603,252
1605,259
1607,152
1608,344
1609,93
1610,122
1612,81
1613,253
1614,291
1615,139
1616,353
1617,305
1618,130
1619,310
1620,267
1621,202
1622,22
1625,259
1626,46
1627,199
1629,88
1630,90
1631,150
1639,269
1640,246
1641,105
1642,134
1643,74
1644,185
1645,79
1646,234
1647,186
1651,355
1652,398
1654,300
1655,317
1656,269
1657,40
1659,61
1662,75
1663,328
1664,133
1665,95
1666,34
1669,198
1670,68
1671,145
1672,314
1673,85
1674,350
1675,43
1676,494
1677,130
1678,141
1679,412
1680,224
1681,124
1684,237
1685,260
1686,239
1687,253
1688,53
1689,216
1690,176
1691,159
1693,150
1695,246
1696,88
1698,320
1699,432
1700,212
1701,249
1702,125
1703,240
1704,266
1705,131
1707,354
1708,253
1709,203
1710,219
1711,313
1712,247
1716,174
1717,240
1718,443
1719,113
1720,278
1721,62
1722,252
1724,254
1725,73
1726,234
1727,276
1728,168
1729,265
1730,71
1731,282
1732,241
1733,198
1734,165
1735,218
1736,235
1738,188
1746,249
1748,228
1749,266
1750,259
1751,259
1752,225
1753,215
1754,240
1756,264
1757,209
1758,414
1759,191
1760,221
1761,204
1763,235
1764,252
1765,235
1766,213
1768,236
1769,298
1770,276
1771,210
1773,111
1774,258
1775,188
1776,176
1777,174
1778,197
1779,231
1780,207
1781,271
1782,219
1783,273
1784,190
1785,256
1786,269
1787,37
1788,266
1789,209
1790,228
1791,231
1792,44
1797,266
1800,394
1801,201
1802,146
1804,51
1805,182
1807,230
1808,41
1813,118
1817,102
1819,180
1820,213
1822,235
1823,212
1824,149
1826,254
1827,167
1828,232
1831,263
1832,262
1833,161
1838,224
1839,227
1840,64
1841,221
1842,173
1843,233
1845,67
1847,206
1848,41
1850,53
1854,274
1855,149
1856,33
1857,153
1861,135
1862,18
1864,169
1868,232
1869,211
1870,219
1871,191
1872,175
1874,77
1877,219
1878,260
1879,269
1881,235
1882,245
1883,251
1884,325
1885,240
1886,204
1887,53
1889,122
1890,229
1891,55
1893,222
1894,313
1895,202
1896,158
1897,184
1898,144
1899,225
1902,47
1903,194
1904,140
1905,212
1907,243
1908,81
1910,81
1914,205
1915,145
1917,176
1920,46
1922,47
1923,75
1924,166
1925,222
1926,70
1927,56
1928,229
1929,144
1930,121
1931,297
1932,178
1933,236
1934,136
1935,134
1936,222
1938,211
1939,453
1940,200
1941,136
1942,117
1943,72
1944,81
1945,221
1946,156
1947,637
1948,331
1949,324
1950,141
1951,325
1955,167
1957,161
1958,380
1961,254
1963,120
1964,49
1966,218
1967,195
1968,380
1969,78
1973,242
1974,458
1975,253
1976,74
1977,199
1978,282
1979,336
1980,228
1981,516
1982,277
1985,144
1986,36
1988,119
