id,unique_words
60,48
61,44
62,45
63,19
64,135
65,282
66,215
67,82
68,116
69,315
70,131
71,44
72,103
73,62
74,76
75,240
76,277
77,114
79,77
80,64
81,22
82,56
83,151
84,95
85,144
86,502
87,280
88,298
89,236
90,23
91,223
92,202
93,152
94,135
95,72
96,54
97,202
98,139
99,214
100,86
101,113
102,94
103,139
104,281
105,64
106,184
107,307
108,30
109,76
110,202
111,30
113,152
114,106
115,97
116,54
117,111
118,48
119,88
120,23
121,14
122,94
123,50
124,249
125,32
126,488
127,124
128,254
129,316
130,128
131,22
132,117
133,20
134,125
135,23
136,24
137,19
138,64
139,29
140,39
141,227
143,20
144,392
145,32
146,33
148,35
150,121
151,76
153,371
155,150
156,57
157,530
158,169
160,12
161,68
162,303
163,40
164,263
165,58
166,56
167,22
168,27
169,374
170,32
171,185
173,43
175,39
177,81
178,59
179,172
180,122
181,129
182,121
183,154
184,160
185,17
186,172
187,27
188,130
190,90
191,202
192,44
194,82
195,39
196,35
197,67
198,97
199,143
201,12
202,77
203,69
204,31
205,225
206,30
207,80
208,235
209,54
210,65
211,67
212,38
213,242
214,255
215,181
216,23
217,156
218,126
219,239
220,208
221,79
223,132
224,235
225,55
226,229
227,31
228,82
229,51
230,1153
231,62
232,104
233,147
234,262
235,112
236,23
237,165
238,94
239,31
240,69
241,123
242,28
243,36
244,130
245,114
246,141
247,19
248,125
249,22
250,224
251,105
252,185
253,15
256,172
257,84
258,53
259,115
260,305
261,112
262,96
264,345
265,146
266,100
267,144
268,95
269,150
270,124
271,95
272,108
273,122
274,68
275,1530
471,127
472,86
473,91
475,74
476,45
477,38
478,64
479,164
480,69
481,61
482,83
483,25
484,144
485,88
486,62
487,235
488,62
489,124
491,68
493,138
495,15
496,223
497,126
498,163
499,39
500,89
501,116
502,27
503,201
504,59
505,19
506,38
507,101
508,55
509,70
510,35
511,98
512,276
513,43
514,103
515,128
516,184
517,89
518,56
519,90
520,124
521,162
522,44
523,88
524,8
525,99
527,18
528,212
530,136
531,17
532,150
533,22
534,82
535,274
536,22
537,262
538,55
539,50
540,113
541,191
542,42
543,14
544,172
545,209
546,92
547,45
548,44
549,142
550,126
551,129
552,223
553,35
554,95
555,65
556,159
557,116
558,198
559,127
561,60
562,163
563,47
564,156
565,15
566,32
568,206
570,119
571,175
572,151
573,259
574,42
575,138
576,62
579,23
583,157
584,59
585,55
586,53
587,151
588,242
589,135
590,102
591,27
592,100
593,82
594,68
595,16
597,17
598,121
599,192
600,90
601,75
602,137
603,74
604,146
605,110
606,80
608,70
610,119
611,137
612,95
613,78
614,96
615,130
616,162
617,45
618,76
619,258
620,16
621,67
622,29
623,65
624,132
625,10
626,93
627,124
628,147
629,97
630,268
631,111
632,204
633,13
634,144
635,63
637,101
638,130
639,186
640,39
641,28
642,221
644,15
647,162
649,80
650,71
651,124
653,38
654,120
655,210
656,16
658,61
659,14
660,235
661,45
664,177
665,60
666,164
667,46
668,114
669,149
670,131
671,111
673,108
674,29
675,28
676,89
677,48
678,173
679,36
680,111
681,80
682,177
683,108
684,224
685,13
686,95
687,19
688,49
689,63
690,98
691,59
692,79
693,50
694,57
695,103
696,50
697,76
698,45
699,133
700,171
701,84
702,28
704,42
705,36
706,53
707,111
708,86
709,293
710,239
711,27
712,310
714,25
715,85
716,67
717,156
718,19
719,554
720,111
721,61
722,181
724,14
725,38
726,25
727,52
728,102
729,41
730,98
731,119
732,14
734,165
736,41
737,257
738,21
739,427
740,15
742,218
743,74
744,107
745,201
746,46
747,91
748,238
749,202
790,30
791,77
792,201
793,211
794,79
797,142
798,278
799,83
800,86
801,87
802,35
803,56
805,65
807,71
809,105
810,89
811,90
812,44
813,102
814,111
815,30
816,86
817,169
818,79
819,58
820,28
822,151
823,189
824,102
825,308
826,33
827,117
828,66
829,107
830,159
831,74
832,190
834,40
835,108
836,131
837,131
838,61
840,99
841,124
842,95
844,50
845,144
846,124
847,427
848,70
849,99
850,122
851,350
853,200
854,86
855,31
856,14
857,41
858,110
859,284
860,205
861,18
862,226
863,108
864,182
865,91
866,69
867,107
868,189
869,135
870,139
871,110
872,105
873,55
874,54
875,42
876,91
877,105
878,135
879,43
880,51
881,164
882,151
883,80
884,41
885,125
886,24
887,37
888,112
889,139
890,123
891,68
892,188
893,159
894,25
895,24
896,46
897,114
898,183
899,181
900,215
901,25
902,86
903,16
904,128
905,47
906,86
907,35
908,128
910,8
913,282
914,91
915,145
916,187
917,15
918,134
919,23
920,137
921,92
922,15
923,165
924,54
925,40
926,22
928,32
930,112
931,115
939,341
940,78
943,71
945,55
946,218
949,132
950,420
952,97
954,81
1175,196
1176,39
1178,26
1179,299
1181,71
1182,73
1183,153
1184,475
1192,41
1260,89
1269,234
1270,133
1272,127
1289,19
1290,72
1336,235
1384,46
1385,47
1406,156
1549,54
1553,71
1554,68
1555,6
1559,62
1560,661
1561,41
1564,206
1565,39
1566,518
1570,210
1571,143
1574,259
1575,141
1577,274
1578,121
1582,94
1583,86
1584,30
1586,62
1589,63
1590,194
1592,122
1593,72
1594,25
1595,136
1596,89
1597,165
1599,217
1601,59
1602,255
1603,193
1605,190
1607,113
1608,274
1609,61
1610,75
1612,54
1613,191
1614,204
1615,98
1616,273
1617,241
1618,89
1619,251
1620,207
1621,147
1622,14
1625,222
1626,28
1627,156
1629,57
1630,60
1631,108
1639,238
1640,203
1641,74
1642,82
1643,54
1644,132
1645,55
1646,186
1647,163
1651,304
1652,350
1654,205
1655,250
1656,222
1657,24
1659,33
1662,51
1663,251
1664,94
1665,61
1666,17
1669,155
1670,52
1671,75
1672,259
1673,64
1674,284
1675,25
1676,448
1677,89
1678,95
1679,361
1680,160
1681,88
1684,179
1685,203
1686,184
1687,185
1688,37
1689,173
1690,110
1691,100
1693,92
1695,174
1696,52
1698,216
1699,403
1700,155
1701,189
1702,84
1703,187
1704,204
1705,72
1707,268
1708,193
1709,143
1710,160
1711,217
1712,171
1716,113
1717,165
1718,415
1719,74
1720,200
1721,46
1722,153
1724,213
1725,48
1726,199
1727,195
1728,127
1729,185
1730,41
1731,204
1732,165
1733,151
1734,116
1735,140
1736,176
1738,143
1746,178
1748,175
1749,199
1750,177
1751,183
1752,159
1753,155
1754,175
1756,205
1757,150
1758,388
1759,155
1760,168
1761,153
1763,168
1764,177
1765,179
1766,179
1768,158
1769,245
1770,191
1771,172
1773,60
1774,191
1775,124
1776,153
1777,151
1778,156
1779,178
1780,171
1781,189
1782,167
1783,192
1784,148
1785,179
1786,180
1787,16
1788,175
1789,171
1790,183
1791,179
1792,28
1797,192
1800,347
1801,140
1802,99
1804,32
1805,131
1807,182
1808,25
1813,87
1817,63
1819,131
1820,162
1822,185
1823,155
1824,109
1826,192
1827,125
1828,162
1831,201
1832,165
1833,106
1838,163
1839,169
1840,48
1841,177
1842,128
1843,168
1845,42
1847,156
1848,24
1850,31
1854,188
1855,89
1856,17
1857,99
1861,98
1862,10
1864,123
1868,177
1869,155
1870,158
1871,121
1872,123
1874,44
1877,154
1878,182
1879,200
1881,178
1882,204
1883,200
1884,260
1885,183
1886,136
1887,26
1889,74
1890,165
1891,30
1893,178
1894,247
1895,163
1896,133
1897,132
1898,121
1899,165
1902,30
1903,147
1904,88
1905,148
1907,189
1908,57
1910,58
1914,165
1915,90
1917,148
1920,33
1922,21
1923,47
1924,136
1925,201
1926,51
1927,42
1928,175
1929,93
1930,75
1931,252
1932,132
1933,183
1934,81
1935,113
1936,161
1938,158
1939,408
1940,145
1941,87
1942,81
1943,47
1944,67
1945,161
1946,121
1947,796
1948,291
1949,258
1950,94
1951,304
1955,134
1957,112
1958,343
1961,218
1963,78
1964,34
1966,172
1967,149
1968,302
1969,50
1973,187
1974,403
1975,198
1976,55
1977,151
1978,219
1979,273
1980,186
1981,523
1982,221
1985,105
1986,24
1988,108
1989,311
1990,204
1991,54
1992,18
1994,109
1995,196
1996,159
1997,172
2000,555
2001,323
2002,235
2003,199
2006,184
2008,129
2009,52
2010,224
2011,201
2012,128
2013,213
2014,436
2015,176
2017,254
2019,200
2020,130
2021,96
2022,140
2023,358
2024,430
2025,148
2028,135
2029,132
2030,122
2031,160
2032,183
2033,96
2035,92
2036,228
2037,141
2038,107
2039,233
2040,143
2042,209
2043,54
2044,160
2046,113
