id,unique_subwords
605,49
607,232
608,1829
612,662
613,48
614,1693
615,2173
617,142
623,1170
624,1775
628,736
646,43
647,92
649,33
651,44
653,23
654,44
661,122
663,33
664,95
665,51
666,75
668,111
669,74
671,1211
674,55
675,24
677,56
678,51
679,43
680,34
683,126
690,146
695,323
696,2683
697,4003
714,3152
728,1054
754,95
756,34
757,48
758,49
759,100
760,38
761,234
762,513
769,931
770,66
771,68
773,323
775,85
776,75
777,59
778,111
786,81
787,113
789,83
793,4750
795,224
796,213
797,279
801,256
802,170
803,189
804,195
805,260
806,226
807,277
808,191
809,306
810,233
811,117
812,96
813,237
814,306
815,178
816,230
817,167
818,169
820,377
821,323
822,241
823,318
824,188
825,286
826,150
827,252
828,197
829,165
830,252
831,78
832,68
833,83
836,53
837,43
839,113
842,240
843,215
844,191
846,1545
847,2478
849,583
853,246
855,136
857,67
861,100
865,450
871,385
874,167
875,276
1059,32
1060,12
1064,140
1066,111
1070,225
1072,448
1074,1081
1075,120
1079,1339
1080,1162
1081,1237
1082,460
1083,501
1084,2227
1085,581
1086,2446
1087,806
1088,2273
1090,238
1092,948
1093,171
1097,650
1098,439
1099,938
1103,756
1104,4193
1105,422
1116,354
1120,210
1131,531
1132,526
1133,76
1135,57
1136,115
1140,428
1386,376
1392,231
1393,169
1395,32
1396,281
1397,638
1410,1274
1414,473
1569,2171
1570,181
1571,270
1572,260
1573,259
1574,308
1575,221
1581,314
1582,156
1583,283
1584,109
1585,118
1586,1916
1597,56
1607,387
1608,226
1611,176
1620,248
2059,233
2067,96
2072,1040
2073,94
2075,220
2080,1325
2081,2137
2082,964
2109,2642
2115,1380
2126,191
2131,4
2152,1023
2153,1434
2165,212
2166,746
2169,1133
2170,1607
2171,301
2172,1110
2173,1460
2174,150
2176,1655
2177,1252
2178,1806
2184,442
2185,779
2186,580
2187,1065
2188,76
2189,694
2190,229
2191,1013
2192,304
2193,845
2194,88
2195,48
2196,65
2198,637
2199,302
2200,84
2201,83
2202,88
2204,531
2205,54
2206,131
2207,71
2208,689
2209,755
2210,85
2211,1497
